	RevName	cal_spm_max	cal_spm_min	dlp_rho_max	dlp_rho_min	dlp_spm_max	dlp_spm_min	dlp_timing_offset	geo_spm_max	geo_spm_min	kernels	rsr_16khz_list	tau_resolution	tau_rho_max	tau_rho_min	tau_spm_max	tau_spm_min
0	Rev007E_RSS_2005_123_K34_E	40000	30650	145001.5	74495	36158.7863	30808.415	0.0783	40382	27600	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnk34rd.1b2']	01KM	144998.75	74495	36158.5751	30808.415
1	Rev007E_RSS_2005_123_K34_E	40000	30650	145001.5	74495	36158.7863	30808.415	0.0783	40382	27600	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnk34rd.1b2']	10KM	144987.5	74495	36157.7111	30808.415
2	Rev007E_RSS_2005_123_S43_E	40000	30650	145071	72445.75	36164.1237	30652.7298	0.0783	40386	27600	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnns43rd.2b2']	01KM	144998.75	73683.25	36158.5751	30746.7719
3	Rev007E_RSS_2005_123_S43_E	40000	30650	145071	72445.75	36164.1237	30652.7298	0.0783	40386	27600	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnns43rd.2b2']	10KM	144987.5	73692.5	36157.7111	30747.4746
4	Rev007E_RSS_2005_123_X34_E	40000	30650	145016.5	72422.5	36159.9382	30650.9622	0.0783	40382	27600	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnx34rd.1a2']	01KM	144998.75	72760.5	36158.5751	30676.657
5	Rev007E_RSS_2005_123_X34_E	40000	30650	145016.5	72422.5	36159.9382	30650.9622	0.0783	40382	27600	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnx34rd.1a2']	10KM	144987.5	72770	36157.7111	30677.3791
6	Rev007E_RSS_2005_123_X43_E	40000	30650	145016.5	72422.5	36159.9382	30650.9622	0.0783	40386	27600	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnx43rd.2a2']	01KM	144998.75	72760.5	36158.5751	30676.657
7	Rev007E_RSS_2005_123_X43_E	40000	30650	145016.5	72422.5	36159.9382	30650.9622	0.0783	40386	27600	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0105/sroc1_123/rsr/s10sroe2005123_0740nnnx43rd.2a2']	10KM	144987.5	72770	36157.7111	30677.3791
8	Rev007I_RSS_2005_123_K26_I	20700	12750	144998.5	72000.25	20668.4181	14822.3863	-0.0166	24000	9001	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0106/sroc1_123/rsr/s10sroi2005123_0230nnnk26rd.3b2']	01KM	144998.75	72001.25	20668.3411	14822.3646
9	Rev007I_RSS_2005_123_K26_I	20700	12750	144998.5	72000.25	20668.4181	14822.3863	-0.0166	24000	9001	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0106/sroc1_123/rsr/s10sroi2005123_0230nnnk26rd.3b2']	10KM	144987.5	72012.5	20667.475	14823.3425
10	Rev007I_RSS_2005_123_S43_I	20700	12750	145028.5	71952.25	20672.2432	14819.8744	-0.0166	24000	9001	"['050606R_SCPSE_05114_05132.bsp', 'cpck26Feb2009.tpc', 'naif0009.tls', 'earthstns_itrf93_050714.bsp', 'earth_000101_090604_090313.bpc']"	['../../../data/cors_0107/sroc1_123/rsr/s10sroi2005123_0230nnns43rd.2b2']	01KM	144998.75	72278	20647.1672	14822.4607
