Feature,Semimajor,Semimajor*Eccentricity,Longitude of Periapsis,Apsidal Precession Rate
Colombo_IEG,77747.89,3.110,96.900,22.57346
Titan_IER,77867.13,17.39,270.54,22.57503
Titan_OER,77890.21,27.20,270.70,22.57562
Colombo_OEG,77926.01,4.890,280.02,22.57696
Maxwell_IEG,87342.77,0,0,0
Maxwell_IER,87480.29,18.93,55.60,14.69572
Maxwell_OER,87539.36,58.02,57.20,14.69314
Maxwell_OEG,87610.12,1.11,228.54,14.69150
Huygens_IEG,117670.0,0,0,0
Huygens_IER,117805.55,27.81,137.53,5.02872
Huygens_OER,117823.65,28.03,141.77,5.02587
Strange_IER,117907.04,7.63,153.21,5.00570
Strange_OER,117916.77,7.40,153.83,5.00735
Huygens_OEG,117930.90,2.20,248.91,5.03383
Herschel_IEG,118188.42,8.27,347.32,4.97362
Herschel_IER,118234.30,1.49,172.81,4.96229
Herschel_OER,118263.25,1.76,264.77,4.95659
Herschel_OEG,118283.51,0.28,113.47,4.94653
Russell_IEG,118589.92,7.60,236.73,4.90922
Russel_OEG,118628.40,0.11,73.68,4.90829
Jeffreys_IEG,118929.63,3.26,333.51,4.85753
Jeffreys_OEG,118966.70,0.08,114.89,4.80910
Laplace_IEG,119844.78,3.25,310.11,4.72673
Laplace_IER,120036.53,1.19,236.12,4.71250


