rsr_filename,snr0 (dBHz)
co-s-rss-1-sroc1-v10/cors_0727/SROC1_123/RSR/S10SROE2005123_0740NNNK34RD.1B1, 47.9636
co-s-rss-1-sroc1-v10/cors_0727/SROC1_123/RSR/S10SROE2005123_0740NNNS43RD.2B1, 40.9549
co-s-rss-1-sroc1-v10/cors_0727/SROC1_123/RSR/S10SROE2005123_0740NNNX34RD.1A1, 48.8396
co-s-rss-1-sroc1-v10/cors_0727/SROC1_123/RSR/S10SROE2005123_0740NNNX43RD.2A1, 54.6598
co-s-rss-1-sroc1-v10/cors_0106/sroc1_123/rsr/s10sroi2005123_0230nnnk26rd.3b2, 49.6867
co-s-rss-1-sroc1-v10/cors_0727/SROC1_123/RSR/S10SROI2005123_0230NNNS43RD.2B1, 42.0888
co-s-rss-1-sroc1-v10/cors_0107/sroc1_123/rsr/s10sroi2005123_0230nnnx26rd.3a2, 49.4429
co-s-rss-1-sroc1-v10/cors_0108/sroc1_123/rsr/s10sroi2005123_0230nnnx43rd.2a2, 54.6980
co-s-rss-1-sroc1-v10/cors_0727/SROC1_141/RSR/S11SROE2005141_1221NNNK55RD.2B1, 49.5579
co-s-rss-1-sroc1-v10/cors_0727/SROC1_141/RSR/S11SROE2005141_1221NNNS63RD.1B1, 43.5237
co-s-rss-1-sroc1-v10/cors_0727/SROC1_141/RSR/S11SROE2005141_1221NNNX55RD.2A1, 49.1067
co-s-rss-1-sroc1-v10/cors_0727/SROC1_141/RSR/S11SROE2005141_1228NNNX63RD.1A1, 54.7879
co-s-rss-1-sroc1-v10/cors_0727/SROC1_141/RSR/S11SROI2005141_0755NNNK34RD.1B1, 47.5274
co-s-rss-1-sroc1-v10/cors_0727/SROC1_141/RSR/S11SROI2005141_0815NNNS43RD.2B1, 42.1070
co-s-rss-1-sroc1-v10/cors_0727/SROC1_141/RSR/S11SROI2005141_0755NNNX34RD.1A1, 48.2790
co-s-rss-1-sroc1-v10/cors_0727/SROC1_141/RSR/S11SROI2005141_0755NNNX43RD.2A1, 54.0988
co-s-rss-1-sroc1-v10/cors_0728/SROC1_159/RSR/S11SROE2005159_1715NNNK55RD.1B1, 49.0430
co-s-rss-1-sroc1-v10/cors_0728/SROC1_159/RSR/S11SROE2005159_1715NNNS14RD.2B1, 43.9910
co-s-rss-1-sroc1-v10/cors_0728/SROC1_159/RSR/S11SROE2005159_1715NNNX14RD.2A1, 55.0011
co-s-rss-1-sroc1-v10/cors_0728/SROC1_159/RSR/S11SROE2005159_1715NNNX55RD.1A1, 48.8667
co-s-rss-1-sroc1-v10/cors_0728/SROC1_177/RSR/S12SROE2005177_2226NNNK25RD.1B1, 48.2050
co-s-rss-1-sroc1-v10/cors_0728/SROC1_177/RSR/S12SROE2005177_2226NNNS14RD.2B1, 37.4417
co-s-rss-1-sroc1-v10/cors_0728/SROC1_177/RSR/S12SROE2005177_2225NNNX14RD.2A1, 55.1219
co-s-rss-1-sroc1-v10/cors_0728/SROC1_177/RSR/S12SROE2005177_2226NNNX25RD.1A1, 48.6028
co-s-rss-1-sroc1-v10/cors_0728/SROC1_177/RSR/S12SROI2005177_1740NNNK25RD.1B1, 48.5305
co-s-rss-1-sroc1-v10/cors_0728/SROC1_177/RSR/S12SROI2005177_1740NNNS14RD.2B1, 37.9040
co-s-rss-1-sroc1-v10/cors_0728/SROC1_177/RSR/S12SROI2005177_1740NNNX14RD.2A1, 54.9740
